..>python logreg.py -evaluate 1
Logistic Regression

Reading data...
60000 training data read
10000 testing data read

(Batch, Learn, Reg)             V. Loss         V. Error
-----------------------------------------------------------
(50, 0.02, 0.0)                 0.166           4.608
(50, 0.02, 0.0001)              0.176           4.625
(50, 0.02, 0.0005)              0.207           4.783
(50, 0.05, 0.0)                 0.167           4.642
(50, 0.05, 0.0001)              0.176           4.608
(50, 0.05, 0.0005)              0.209           4.742
(50, 0.1, 0.0)                  0.166           4.608
(50, 0.1, 0.0001)               0.177           4.617
(50, 0.1, 0.0005)               0.210           4.725
(50, 0.5, 0.0)                  0.165           4.600
(50, 0.5, 0.0001)               0.184           4.575
(50, 0.5, 0.0005)               0.211           4.658
(50, 1.0, 0.0)                  0.170           4.750
(50, 1.0, 0.0001)               0.187           4.575
(50, 1.0, 0.0005)               0.215           4.642
(100, 0.02, 0.0)                0.169           4.683
(100, 0.02, 0.0001)             0.178           4.733
(100, 0.02, 0.0005)             0.207           4.850
(100, 0.05, 0.0)                0.167           4.625
(100, 0.05, 0.0001)             0.176           4.617
(100, 0.05, 0.0005)             0.208           4.758
(100, 0.1, 0.0)                 0.167           4.642
(100, 0.1, 0.0001)              0.176           4.617
(100, 0.1, 0.0005)              0.209           4.742
(100, 0.5, 0.0)                 0.164           4.625
(100, 0.5, 0.0001)              0.177           4.600
(100, 0.5, 0.0005)              0.211           4.633
(100, 1.0, 0.0)                 0.165           4.617
(100, 1.0, 0.0001)              0.184           4.567
(100, 1.0, 0.0005)              0.213           4.642
(200, 0.02, 0.0)                0.178           4.875
(200, 0.02, 0.0001)             0.185           4.883
(200, 0.02, 0.0005)             0.209           4.958
(200, 0.05, 0.0)                0.167           4.642
(200, 0.05, 0.0001)             0.177           4.683
(200, 0.05, 0.0005)             0.207           4.825
(200, 0.1, 0.0)                 0.167           4.625
(200, 0.1, 0.0001)              0.176           4.617
(200, 0.1, 0.0005)              0.208           4.758
(200, 0.5, 0.0)                 0.163           4.633
(200, 0.5, 0.0001)              0.179           4.608
(200, 0.5, 0.0005)              0.210           4.675
(200, 1.0, 0.0)                 0.164           4.617
(200, 1.0, 0.0001)              0.177           4.592
(200, 1.0, 0.0005)              0.211           4.633
-----------------------------------------------------------
Best Params: (100, 1.0, 0.0001), validation error: 4.567

Testing Set Error: 4.570
